TimeStep,Base Load (kW),Solar PV (kW),EV Charge (kW),EV Discharge (kW),EV SoC (kWh),Water Heater (kW),Bat Charge (kW),Bat Discharge (kW),Battery SoC (kWh),Net Grid Flow (kW),Step Cost ($)
0,1.5,-6.0,0.0,0.0,0.0,3.0,1.5,0.0,6.5,0.0,-0.0
1,1.5,-5.5,0.0,0.0,0.0,3.0,1.0,0.0,7.5,0.0,-0.0
2,1.5,-4.5,0.0,0.0,0.0,3.0,0.0,0.0,7.5,0.0,-0.0
3,2.0,-3.0,0.0,0.0,0.0,0.0,1.0,0.0,8.5,0.0,-0.0
4,3.0,-1.5,0.0,0.0,0.0,0.0,0.0,-1.5,7.0,0.0,-0.0
5,4.5,-0.5,7.0,0.0,21.0,0.0,0.0,-5.0,2.0,6.0,3.0
6,5.0,0.0,7.0,0.0,28.0,0.0,0.0,-2.0,0.0,10.0,6.0
7,4.5,0.0,7.0,0.0,35.0,0.0,0.0,0.0,0.0,11.5,5.75
8,3.5,0.0,7.0,0.0,42.0,0.0,0.0,0.0,0.0,10.5,4.2
9,2.5,0.0,7.0,0.0,49.0,0.0,0.0,0.0,0.0,9.5,1.9
10,1.5,0.0,7.0,0.0,56.0,0.0,0.0,0.0,0.0,8.5,0.85
11,1.0,0.0,7.0,0.0,63.0,0.0,0.0,0.0,0.0,8.0,0.8
12,1.0,0.0,7.0,0.0,70.0,0.0,0.0,0.0,0.0,8.0,0.8
13,0.8,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.8,0.08
14,0.8,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.8,0.08
15,0.8,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.8,0.08
16,1.2,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,1.2,0.12
17,2.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,0.2
18,3.5,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,3.5,0.35
19,2.5,-0.5,0.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,0.3
20,1.5,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
21,1.0,-3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,-0.0
22,1.0,-4.5,0.0,0.0,0.0,0.0,3.5,0.0,5.5,0.0,-0.0
23,1.0,-5.5,0.0,0.0,0.0,0.0,4.5,0.0,10.0,0.0,-0.0
