TimeStep,Base Load (kW),Solar PV (kW),EV Charge (kW),EV Discharge (kW),EV SoC (kWh),Water Heater (kW),Bat Charge (kW),Bat Discharge (kW),Battery SoC (kWh),Net Grid Flow (kW),Step Cost ($)
0,1.5,-6.0,0.0,0.0,0.0,3.0,1.5,0.0,6.5,0.0,-0.0
1,1.5,-5.5,0.0,0.0,0.0,3.0,1.0,0.0,7.5,0.0,-0.0
2,1.5,-4.5,0.0,0.0,0.0,0.0,0.131,0.0,7.631,-2.869,-0.14345
3,2.0,-3.0,0.0,0.0,0.0,0.0,1.0,0.0,8.631,0.0,-0.0
4,3.0,-1.5,0.0,0.0,0.0,0.0,0.0,-1.5,7.131,0.0,-0.0
5,4.5,-0.5,0.0,-4.0,10.0,0.0,0.0,0.0,7.131,0.0,-0.0
6,5.0,0.0,0.0,-2.037,7.963,0.0,0.0,-2.963,4.168,0.0,-0.0
7,4.5,0.0,0.0,-4.5,3.463,0.0,0.0,0.0,4.168,0.0,-0.0
8,3.5,0.0,0.0,0.0,3.463,0.0,0.0,0.0,4.168,3.5,1.4
9,2.5,0.0,0.0,0.0,3.463,0.0,0.0,0.0,4.168,2.5,0.5
10,1.5,0.0,7.0,0.0,10.463,0.0,0.0,0.0,4.168,8.5,0.85
11,1.0,0.0,7.0,0.0,17.463,0.0,0.0,0.0,4.168,8.0,0.8
12,1.0,0.0,7.0,0.0,24.463,0.0,0.0,0.0,4.168,8.0,0.8
13,0.8,0.0,0.0,0.0,24.463,0.0,0.0,0.0,4.168,0.8,0.08
14,0.8,0.0,0.0,0.0,24.463,0.0,0.0,0.0,4.168,0.8,0.08
15,0.8,0.0,7.0,0.0,31.463,0.0,0.0,0.0,4.168,7.8,0.78
16,1.2,0.0,7.0,0.0,38.463,0.0,0.0,0.0,4.168,8.2,0.82
17,2.0,0.0,0.0,0.0,38.463,0.0,0.0,0.0,4.168,2.0,0.2
18,3.5,0.0,7.0,0.0,45.463,0.0,0.0,0.0,4.168,10.5,1.05
19,2.5,-0.5,0.0,0.0,45.463,0.0,0.0,0.0,4.168,2.0,0.3
20,1.5,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,4.168,0.0,-0.0
21,1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.168,-2.0,-0.1
22,1.0,-4.5,0.0,0.0,0.0,0.0,0.0,0.0,4.168,-3.5,-0.175
23,1.0,-5.5,0.0,0.0,0.0,0.0,0.0,0.0,4.168,-4.5,-0.225
